genre,rel_sub,rel_inf,rel_fus
new york drill,sexy drill,,
new york drill,sample drill,,
ngoma,unyago,,
ngoma,chakacha,,
nhạc tiền chiến,,tango,
nhạc tiền chiến,,waltz,
nhạc vàng,,nhạc tiền chiến,
nhạc đỏ,,western classical,
nintendocore,,chiptune,
nitzhonot,,melodic trance,
njuup,,,
no wave,,punk rock,
noiadance,,,dutch house
noiadance,,,funk brasileiro
noiadance,,latin house,
noiadance,,moombahton,
noise,black noise,,
noise,harsh noise,,
noise,power electronics,,
noise rock,pigfuck,,
noisecore,,noise,
noisegrind,,noise,
non-music,,,
nortec,,banda sinaloense,
nortec,,house,
nortec,,idm,
nortec,,norteño,
norteño,cumbia norteña mexicana,,
norteño,duranguense,,
norteño,movimiento alterado,,
norteño,sierreño,,
novo dub,,electronic,
nu disco,,disco,
nu jazz,,jazz,
nu metal,,funk metal,
nu metal,,hip hop,
nu skool breaks,,drum and bass,
nu skool breaks,,techno,
nu skool breaks,,uk garage,
nueva canción,nuevo cancionero,,
nueva canción,nueva canción chilena,,
nueva canción,nueva canción española,,
nueva canción chilena,,neofolklore,
nueva canción española,,nova cançó,
nueva trova,,nueva canción,
nuevo flamenco,,blues,
nuevo flamenco,,jazz,
nuevo flamenco,,rock,
nuevo tango,,western classical,
nuevo tango,,jazz,
nustyle,,jumpstyle,
nustyle,,nu style gabber,
nwobhm,,punk,
nyū myūjikku,,contemporary folk,
nyū myūjikku,,kayōkyoku,
nóta,,art song,
oberek,,,
occult rock,,blues,
occult rock,,hard rock,
occult rock,,progressive rock,
occult rock,,psychedelic rock,
ogene music,,,
old school hip hop,,disco,
omutibo,,,
onda nueva,,bossa nova,
onda nueva,,jazz,
onda nueva,,joropo,
ondō,,,
onkyo,,free improvisation,
opera,operetta,,
opera,opéra comique,,
opera,ballad opera,,
opera,singspiel,,
opera,opera buffa,,
opera,opera seria,,
opera,tragédie en musique,,
opera,opera semiseria,,
opera,grand opera,,
opera,zeitoper,,
opera,romantische oper,,
opera,verismo,,
opera,monodrama,,
opera-ballet,,,ballet
opera-ballet,,,opera
operatic pop,,western classical,
operatic pop,,opera,
orchestral,,,
organic house,,afro house,
organic house,,deep house,
organic house,,downtempo,
organic house,,progressive house,
ori deck,,dubstep,
ori deck,,moombahton,
oriental ballad,,gagok,
orkes gambus,,nasheed,
orthodox pop,,klezmer,
orthodox pop,,nigun,
outlaw country,,rock,
outrun,,electro house,
outsider house,lo-fi house,,
outsider house,,deep house,
pachanga,,conga,
pachanga,,cumbia,
pachanga,,merengue,
pachanga,,rumba cubana,
pacific reggae,,folk,
pacific reggae,jawaiian,,
pagan black metal,,folk,
paghjella,,,
pagode,pagode romântico,,
pagode romântico,,axé,
pagode romântico,,pop,
pagode romântico,,samba-rock,
pagode romântico,,sertanejo,
pagodão,,pagode,
pagodão,,samba-reggae,
paisley underground,,jangle pop,
paisley underground,,new wave,
paisley underground,,power pop,
paisley underground,,psychedelic pop,
paisley underground,,psychedelic rock,
palm-wine,,calypso,
palo de mayo,,,
pandilla,,,
pansori,,,
paramaribop,,bebop,
paramaribop,,kaseko,
parang,,,
partyschlager,,edm,
pasillo,,waltz,
payada,,,
peak time techno,,acid techno,
peak time techno,,trance,
persian classical,,indian classical,
persian classical,,islamic modal music,
philly club,,baltimore club,
philly club,,hardstyle,
philly club,,trap edm,
philly club rap,,philly club,
philly soul,,pop soul,
phleng phuea chiwit,,luk thung,
phleng phuea chiwit,,mor lam,
phonk,,memphis rap,
phonk,,trap,
phonk house,,drift phonk,
piano blues,,ragtime,
picopop,,electronic,
pigfuck,,no wave,
pigfuck,,post-hardcore,
pigfuck,,post-punk,
pilón,,,
pimba,,,
piosenka aktorska,,cabaret,
piosenka aktorska,,musical,
pipe band music,,,
pirekua,,,
piyyut,zemirot,,
plainchant,gregorian chant,,
plainchant,ambrosian chant,,
plainchant,mozarabic chant,,
plainchant,beneventan chant,,
plainchant,old roman chant,,
plainchant,celtic chant,,
plainchant,gallican chant,,
plena,,,
plugg,pluggnb,,
plugg,dark plugg,,
plugg,ambient plugg,,
plugg,terror plugg,,
pluggnb,,jazz,
pluggnb,,r&b,
pluggnb,asian rock,,
plunderphonics,ytpmv,,
plunderphonics,mad,,
poetry,beat poetry,,
poetry,dub poetry,,
poetry,jazz poetry,,
poetry,slam poetry,,
poetry,sound poetry,,
poetry,cowboy poetry,,
poetry,ngâm thơ,,
poetry,punk poetry,,
poetry,kakawin,,
polca criolla,,polka,
polifonia occitana,,,
polka,schottische,,
polka,chicago polka,,
polka,eastern-style polka,,
polonaise,,,
pon-chak disco,,synth-pop,
pop,avant-garde pop,,
pop,art pop,,
pop,ambient pop,,
pop,alternative pop,,
pop,bubblegum pop,,
pop,brill building,,
pop,baroque pop,,
pop,bardcore,,
pop,canción melódica,,
pop,c-pop,,
pop,contemporary christian,,
pop,classical crossover,,
pop,city pop,,
pop,dansband,,
pop,dance-pop,,
pop,denpa,,
pop,europop,,
pop,electropop,,
pop,easy listening,,
pop,flamenco pop,,
pop,hyperpop,,
pop,hypnagogic pop,,
pop,indian pop,,
pop,indie pop,,
pop,jazz pop,,
pop,j-pop,,
pop,korean ballad,,
pop,kayōkyoku,,
pop,k-pop,,
pop,levenslied,,
pop,latin pop,,
pop,mulatós,,
pop,nyū myūjikku,,
pop,neo-acoustic,,
pop,nederpop,,
pop,psychedelic pop,,
pop,progressive pop,,
pop,pop ghazal,,
pop,persian pop,,
pop,russian chanson,,
pop,rom kbach,,
pop,q-pop,,
pop,schlager,,
pop,synth-pop,,
pop,shibuya-kei,,
pop,sundanese pop,,
pop,sophisti-pop,,
pop,teen pop,,
pop,yé-yé,,
pop,wong shadow,,
pop,v-pop,,
pop,dansktop,,
pop,palingsound,,
pop,sunshine pop,,
pop,opm,,
pop,traditional pop,,
pop,orthodox pop,,
pop,jesus music,,
pop,pop minang,,
pop,pop kreatif,,
pop,t-pop,,
pop,toytown pop,,
pop,electro hop,,
pop,turkish pop,,
pop ghazal,,ghazal,
pop kreatif,,city pop,
pop metal,,arena rock,
pop metal,,pop,
pop minang,talempong goyang,,
pop punk,easycore,,
pop punk,,pop,
pop punk,neon pop punk,,
pop punk,seishun punk,,
pop rap,chicago bop,,
pop rap,,pop,
pop rap,frat rap,,
pop raï,,pop,
pop rock,burmese stereo,,
pop rock,beat music,,
pop rock,jangle pop,,
pop rock,manila sound,,
pop rock,power pop,,
pop rock,,,pop
pop rock,,,rock
pop rock,tropical rock,,
pop screamo,,alternative rock,
pop screamo,,emo,
pop screamo,,metalcore,
pop screamo,,screamo,
pop soul,motown,,
pop soul,,,pop
pop soul,,,soul
pop yeh-yeh,,beat music,
porro,,cumbia,
post-bop,,avant-garde jazz,
post-bop,,hard bop,
post-bop,,modal jazz,
post-britpop,,britpop,
post-britpop,,indie rock,
post-classical,,electronic,
post-dubstep,,ambient,
post-dubstep,,contemporary r&b,
post-dubstep,,dubstep,
post-grunge,,grunge,
post-hardcore,emocore,,
post-hardcore,emo,,
post-hardcore,nintendocore,,
post-hardcore,,experimental rock,
post-hardcore,,hardcore punk,
post-hardcore,screamo,,
post-hardcore,pop screamo,,
post-hardcore,progressive post-hardcore,,
post-industrial,epic collage,,
post-industrial,ebm,,
post-industrial,martial industrial,,
post-industrial,power noise,,
post-metal,,post-rock,
post-metal,doomgaze,,
post-minimalism,,minimalism,
post-minimalism,,folk,
post-minimalism,,jazz,
post-punk,coldwave,,
post-punk,dance-punk,,
post-punk,post-punk revival,,
post-punk,,punk rock,
post-punk revival,,indie rock,
post-punk revival,,new wave,
post-rock,,ambient,
post-rock,,jazz,
post-rock,,slowcore,
powada,,,
power electronics,,industrial,
power metal,,heavy metal,
power metal,,speed metal,
power noise,,electronic,
power noise,,noise,
powerstomp,,hardstyle,
powerstomp,,uk hardcore,
powerviolence,,grindcore,
praise break,,ring shout,
production music,,,
progressive,,,
progressive bluegrass,jamgrass,,
progressive bluegrass,,folk,
progressive bluegrass,,jazz,
progressive bluegrass,,rock,
progressive breaks,,progressive house,
progressive country,outlaw country,,
progressive country,,contemporary folk,
progressive country,,rock,
progressive electronic,berlin school,,
progressive electronic,,ambient,
progressive electronic,,western classical,
progressive electronic,,progressive rock,
progressive house,,trance,
progressive house,epic house,,
progressive metal,djent,,
progressive metal,,progressive rock,
progressive metalcore,,progressive metal,
progressive post-hardcore,swancore,,
progressive psytrance,,deep house,
progressive psytrance,,minimal techno,
progressive psytrance,,progressive house,
progressive psytrance,,tech house,
progressive psytrance,zenonesque,,
progressive rock,avant-prog,,
progressive rock,brutal prog,,
progressive rock,crossover prog,,
progressive rock,neo-progressive rock,,
progressive rock,,western classical,
progressive rock,,jazz,
progressive rock,symphonic prog,,
progressive trance,,progressive house,
psybient,,ambient,
psybient,,goa trance,
psybient,,psytrance,
psybreaks,,goa trance,
psybreaks,,psytrance,
psychedelic,neo-psychedelia,,
psychedelic,psychploitation,,
psychedelic folk,free folk,,
psychedelic folk,freak folk,,
psychedelic folk,,psychedelic,
psychedelic folk,udigrudi,,
psychedelic folk,wyrd folk,,
psychedelic pop,,psychedelic,
psychedelic rock,acid rock,,
psychedelic rock,canterbury scene,,
psychedelic rock,heavy psych,,
psychedelic rock,,psychedelic,
psychedelic rock,raga rock,,
psychedelic rock,space rock,,
psychedelic rock,zamrock,,
psychedelic soul,,psychedelic rock,
psychobilly,,,punk rock
psychobilly,,,rockabilly
psycore,,dark ambient,
psycore,,glitch,
psystyle,,psytrance,
psytrance,dark psytrance,,
psytrance,,goa trance,
psytrance,,acid trance,
psytrance,suomisaundi,,
psytrance,progressive psytrance,,
psytrance,full-on,,
psytrance,forest psytrance,,
puirt à beul,,,
pungmul,,,
punk,art punk,,
punk,anarcho-punk,,
punk,alternative punk,,
punk,cowpunk,,
punk,electropunk,,
punk,folk punk,,
punk,,neo-rockabilly,
punk,punk rock,,
punk,,garage rock,
punk,,proto-punk,
punk,post-hardcore,,
punk blues,,blues rock,
punk blues,,punk rock,
punk poetry,,beat poetry,
punk poetry,,dub poetry,
punk poetry,,punk,
punk rap,,punk,
punk rock,deathrock,,
punk rock,gypsy punk,,
punk rock,hardcore punk,,
punk rock,horror punk,,
punk rock,könsrock,,
punk rock,oi,,
punk rock,,garage rock,
punk rock,,rock and roll,
punk rock,,surf rock,
punk rock,pop punk,,
punk rock,riot grrrl,,
punk rock,queercore,,
punk rock,surf punk,,
punk rock,skate punk,,
punk rock,viking rock,,
punta,,,
purple sound,,bit music,
purple sound,,g-funk,
purple sound,,grime,
purple sound,,synth funk,
puxa,,,
q-pop,,k-pop,
qaraami,,funk,
qaraami,,jazz,
qaraami,,pop,
qaraami,,soul,
qasidah modern,,dangdut,
qasidah modern,,pop,
qawwali,,,
quan họ,,,
r&b,british rhythm & blues,,
r&b,blue-eyed soul,,
r&b,contemporary r&b,,
r&b,doo-wop,,
r&b,new orleans r&b,,
r&b,quiet storm,,
r&b,swamp pop,,
r&b,beach music,,
rabiz,,,
rage,,cloud rap,
rage,,digicore,
rage,,future bass,
rage,,plugg,
ragga hip-hop,,,hip hop
ragga hip-hop,,,ragga
ragga jungle,,dub,
ragga jungle,,ragga,
raggacore,,dancehall,
raggacore,,ragga,
raggacore,,ragga jungle,
raggatek,,dancehall,
raggatek,,ragga,
raggatek,,reggae,
ragtime,novelty piano,,
ragtime,,march,
ragtime,ragtime song,,
ragtime,classic ragtime,,
rap metal,,funk metal,
rap metal,,hip hop,
rap metal,,rap rock,
rap rock,,,hip hop
rap rock,,,rock
rapcore,,,hardcore punk
rapcore,,,hip hop
rapso,,,hip hop
rapso,,,soca
rara,,haitian vodou drumming,
rasin,,rock,
rasqueado cuiabano,,,
rasteirinha,,axé,
rasteirinha,,reggaeton,
rasteirinha,,samba,
ratchet music,,crunk,
ratchet music,,hyphy,
ratchet music,,jerk rap,
ratchet music,,snap,
rautalanka,,rock and roll,
rautalanka,,schlager,
rautalanka,,surf rock,
rawphoric,,euphoric hardstyle,
rawstyle,,gabber,
rawstyle,,industrial hardcore,
rawstyle,rawphoric,,
rawstyle,xtra raw,,
raï,pop raï,,
rebetiko,,,
red dirt,,outlaw country,
red dirt,,southern rock,
red song,,,
reductionism,lowercase,,
reductionism,onkyo,,
regalia,,cloud rap,
regalia,,plugg,
reggae,dancehall,,
reggae,dub,,
reggae,gospel reggae,,
reggae,lovers rock,,
reggae,,mento,
reggae,roots reggae,,
reggae,,rocksteady,
reggae,pacific reggae,,
reggae,reggae-pop,,
reggae,,r&b,
reggae,,ska,
reggae,skinhead reggae,,
reggae,deejay,,
reggae,reggae panameño,,
reggae panameño,,dancehall,
reggae rock,,reggae-pop,
reggae rock,,roots reggae,
reggae-pop,,contemporary r&b,
reggae-pop,,pop,
reggae-pop,,soul,
reggaeton,cubatón,,
reggaeton,,dancehall,
reggaeton,,hip hop,
reggaeton,neoperreo,,
reggaeton,rkt,,
reggaeton,bachatón,,
reggaeton,cumbiatón,,
reggaeton,romantic flow,,
reggaeton,doble paso,,
reggaeton,,reggae panameño,
regional mexicano,banda sinaloense,,
regional mexicano,canto cardenche,,
regional mexicano,chilena,,
regional mexicano,corrido,,
regional mexicano,mariachi,,
regional mexicano,norteño,,
regional mexicano,ranchera,,
regional mexicano,son calentano,,
regional mexicano,son huasteco,,
regional mexicano,son istmeño,,
regional mexicano,son jarocho,,
regional mexicano,tejano,,
regional mexicano,trova yucateca,,
regional mexicano,grupera,,
reparto,,salsa,
rhumba,,bolero,
rhumba,,jazz,
rhumba,,pop,
rhumba,,rumba cubana,
rhumba,,son cubano,
riddim dubstep,,dubstep,
riddim dubstep,future riddim,,
riddim dubstep,liquid riddim,,
rigsar,,,
riot grrrl,,grunge,
riot grrrl,,noise rock,
riot grrrl,,post-hardcore,
ripsaw,,,
rizitika,,,
rkt,,cumbia villera,
rock,art rock,,
rock,anatolian rock,,
rock,arena rock,,
rock,aor,,
rock,alternative rock,,
rock,afro rock,,
rock,acoustic rock,,
rock,comedy rock,,
rock,classic rock,,
rock,christian rock,,
rock,dance-rock,,
rock,experimental rock,,
rock,freakbeat,,
rock,folk rock,,
rock,gothic rock,,
rock,glam rock,,
rock,garage rock,,
rock,hard rock,,
rock,heartland rock,,
rock,instrumental rock,,
rock,jazz rock,,
rock,jam band,,
rock,latin rock,,
rock,mod,,
rock,miejski folk,,
rock,math rock,,
rock,mangue beat,,
rock,mainstream rock,,
rock,noise rock,,
rock,new wave,,
rock,neo-rockabilly,,
rock,occult rock,,
rock,punk blues,,
rock,pub rock,,
rock,psychedelic rock,,
rock,proto-punk,,
rock,progressive rock,,
rock,post-rock,,
rock,post-punk,,
rock,pop yeh-yeh,,
rock,piano rock,,
rock,roots rock,,
rock,rock urbano,,
rock,rock opera,,
rock,rock andino,,
rock,rock andaluz,,
rock,rock and roll,,
rock,rautalanka,,
rock,symphonic rock,,
rock,swamp rock,,
rock,surf,,
rock,sufi rock,,
rock,southern rock,,
rock,soft rock,,
rock,zolo,,
rock,visual kei,,
rock,reggae rock,,
rock,rock urbano mexicano,,
rock,beat rock,,
rock and roll,indorock,,
rock and roll,rockabilly,,
rock and roll,,r&b,
rock and roll,,traditional country,
rock and roll,,blues,
rock andaluz,,flamenco,
rock andaluz,,symphonic prog,
rock andino,,folk,
rock andino,,progressive rock,
rock andino,,psychedelic rock,
rock jiwang,,pop rock,
rock kapak,,glam metal,
rock kapak,,heavy metal,
rock kapak,rock jiwang,,
rock musical,,rock,
rock opera,,musical,
rock rural,,country rock,
rock rural,,mpb,
rock rural,,sertanejo,
rock urbano,,progressive rock,
rock urbano mexicano,,blues rock,
rock urbano mexicano,,folk rock,
rock urbano mexicano,,hard rock,
rockabilly,,neo-rockabilly,
rocksteady,,ska,
rocksteady,,soul,
romantic flow,,contemporary r&b,
romantic flow,,latin pop,
romantische oper,,folk,
romantische oper,,opéra comique,
rominimal,,microhouse,
rominimal,,minimal techno,
roots rock,,blues,
roots rock,,country,
roots rock,,r&b,
roots rock,tex-mex,,
rumba,,,
rumba catalana,,rumba flamenca,
rumba catalana,,pop,
rumba catalana,,rumba cubana,
rumba cubana,guaguancó,,
rumba flamenca,,guaguancó,
rumba flamenca,,guaracha,
rumba flamenca,,rumba catalana,
rumba flamenca,,son cubano,
runo song,seto leelo,,
russian orthodox liturgical music,,byzantine chant,
russian orthodox liturgical music,kyivan chant,,
russian orthodox liturgical music,znamenny chant,,
russian orthodox liturgical music,valaam chant,,
rustic stomp,,celtic punk,
rustic stomp,,psychobilly,
ryūkōka,,western classical,
rōkyoku,,,
sa'idi,,,
sacred harp,,,
sacred steel,,bebop,
sacred steel,,delta blues,
sacred steel,,electric blues,
saeta,,flamenco,
salsa,salsa choke,,
salsa,salsa dura,,
salsa,salsa romántica,,
salsa,,mambo,
salsa,,son cubano,
salsa,timba,,
salsa choke,,hip hop,
salsa choke,,house,
salsa choke,,reggaeton,
salsa romántica,,pop,
samba,bossa nova,,
samba,partido alto,,
samba,pagode,,
samba,pagodão,,
samba,samba de breque,,
samba,samba de gafieira,,
samba,samba de roda,,
samba,samba de terreiro,,
samba,samba-canção,,
samba,samba-enredo,,
samba,samba-exaltação,,
samba,samba-joia,,
samba,samba-rock,,
samba,sambalanço,,
samba de breque,,samba-choro,
samba de gafieira,,big band,
samba de gafieira,,lundu,
samba de gafieira,,maxixe,
samba rap,,samba,
samba soul,,funk,
samba soul,,soul,
samba-choro,,,choro
samba-choro,,,samba
samba-jazz,,,jazz
samba-jazz,,,samba
samba-joia,,bolero,
samba-reggae,,,partido alto
samba-reggae,,,reggae
samba-reggae,,merengue,
samba-reggae,,salsa,
samba-rock,samba soul,,
samba-rock,,rock,
sambalanço,,jazz,
sambalanço,,samba-exaltação,
sambass,,bossa nova,
sambass,,samba,
sampledelia,,psychedelic,
samri,,,
sanjo,,,
santé engagé,,séga,
sarala gee,,hindustani classical,
sardana,,,
sasscore,,dance-punk,
sasscore,,new wave,
sasscore,,post-hardcore,
saya afroboliviana,,,
scam rap,,detroit trap,
schlager,volkstümliche musik,,
schlager,partyschlager,,
screamo,emoviolence,,
screamo,,emo,
screamo,,hardcore punk,
scrumpy and western,,comedy,
seggae,,,reggae
seggae,,,séga
semi-trot,,dance-pop,
semi-trot,,electropop,
semi-trot,,k-pop,
semi-trot,,pop rock,
seresta,,modinha,
seresta,,serenade,
seresta,,valsa brasileira,
serialism,integral serialism,,
sertanejo,sertanejo universitário,,
sertanejo,sertanejo romântico,,
sertanejo,sertanejo raiz,,
sertanejo raiz,moda de viola,,
sertanejo romântico,,pop,
sertanejo universitário,funknejo,,
sertanejo universitário,,pop,
sertanejo universitário,agronejo,,
sexy drill,,contemporary r&b,
shaabi,mahraganat,,
shaabi,,raqs baladi,
shanto,,calypso,
shibuya-kei,picopop,,
shidaiqu,,jazz,
shima-uta,,,
shinkyoku,,western classical,
shinkyoku,,meiji shinkyoku,
shitgaze,,garage rock,
shitgaze,,noise rock,
shitgaze,,shoegaze,
shoegaze,,dream pop,
shoegaze,,indie rock,
shoegaze,,neo-psychedelia,
shoegaze,,noise rock,
sierreño,corrido tumbado,,
sikuri,,,
sinawi,,,
sinfonia concertante,,,concerto
sinfonia concertante,,,symphony
singeli,,bongo flava,
singeli,,taarab,
singeli,,mchiriku,
singer-songwriter,avtorskaya pesnya,,
singer-songwriter,euskal kantagintza berria,,
singer-songwriter,kleinkunst,,
singer-songwriter,liedermacher,,
singer-songwriter,música de intervenção,,
singer-songwriter,nueva canción,,
singer-songwriter,nova cançó,,
singspiel,,ballad opera,
singspiel,,opéra comique,
sizhu music,jiangnan sizhu,,
ska,2 tone,,
ska,jamaican ska,,
ska,,calypso,
ska,,jump blues,
ska,,mento,
ska,,new orleans r&b,
ska,third wave ska,,
ska punk,,,punk rock
ska punk,,,ska
ska punk,skacore,,
ska punk,crack rock steady,,
skacore,,hardcore punk,
skiffle,,country blues,
skiffle,,dixieland,
skiffle,,jazz,
skizzo,,techno,
skweee,,synth funk,
skweee,,techno,
slack-key guitar,,,
slacker rock,shitgaze,,
slap house,,brazilian bass,
slap house,,future house,
sleaze rock,,blues rock,
sleaze rock,,glam punk,
slimepunk,,brostep,
slimepunk,,halftime,
slimepunk,,trap edm,
slowcore,,contemporary folk,
slowcore,,folk rock,
slowcore,,indie folk,
slowed & reverb,,chopped and screwed,
slowed & reverb,,vaporwave,
sludge metal,atmospheric sludge metal,,
sludge metal,,doom metal,
sludge metal,,hardcore punk,
slushwave,,ambient,
smooth jazz,,jazz fusion,
smooth soul,,motown,
soca,dennery segment,,
soca,power soca,,
soca,,calypso,
soca,bashment soca,,
soft rock,,baroque pop,
soft rock,,country rock,
soft rock,,folk pop,
soft rock,yacht rock,,
son cubano,son montuno,,
son de pascua,,villancico,
son nica,,ranchera,
songo,,funk,
songo,,jazz,
songo,,rumba cubana,
songo,,son cubano,
sonorism,,serialism,
sonorism,,stochastic music,
sophisti-pop,,jazz,
sophisti-pop,,r&b,
sophisti-pop,,soul,
soukous,kwassa kwassa,,
soul,chicago soul,,
soul,deep soul,,
soul,latin soul,,
soul,northern soul,,
soul,neo soul,,
soul,psychedelic soul,,
soul,philly soul,,
soul,southern soul,,
soul,,big band,
soul,,gospel,
soul,,r&b,
soul,smooth soul,,
soul,progressive soul,,
soul blues,,gospel,
soul blues,,jump blues,
soul blues,,soul,
soul jazz,,gospel,
soul jazz,,r&b,
soul jazz,,soul,
sound collage,spamwave,,
sound effects,binaural beats,,
sound effects,broadband noise,,
southeast asian classical,talempong,,
southeast asian classical,tembang cianjuran,,
southeast asian classical,saluang klasik,,
southeast asian classical,pinpeat,,
southeast asian classical,mahori,,
southeast asian classical,kulintang,,
southeast asian classical,kacapi suling,,
southeast asian classical,gamelan,,
southeast asian classical,burmese classical,,
southeast asian classical,thai classical,,
southern hip hop,dirty south,,
southern metal,,blues,
southern metal,,sludge metal,
southern metal,,stoner metal,
southern rock,,blues rock,
southern rock,,country,
southern rock,,folk,
southern rock,,hard rock,
southern rock,,rock and roll,
southern soul,,electric blues,
southern soul,,gospel,
southern soul,,r&b,
sovietwave,,ambient,
sovietwave,,progressive electronic,
space ambient,,drone,
space ambient,,progressive electronic,
space disco,,space rock,
space rock revival,,post-punk,
space rock revival,,,neo-psychedelia
space rock revival,,,space rock
spacesynth,,italo-disco,
spacesynth,,space disco,
spacesynth,,synth-pop,
spamwave,,noise,
spamwave,,vaporwave,
speech,sermon,,
speed garage,,garage house,
speed garage,,jungle,
speed house,,bass house,
speed house,,hard house,
speed metal,,nwobhm,
speedcore,extratone,,
speedcore,splittercore,,
spiritual jazz,,free jazz,
spirituals,,ring shout,
spirituals,concert spiritual,,
splittercore,,noise,
spoken word,guided meditation,,
spoken word,lecture,,
spoken word,fairy tale,,
spoken word,interview,,
spoken word,speech,,
spouge,,,calypso
spouge,,,ska
staïfi,,malouf,
steampunk,,dark wave,
steampunk,,industrial,
steampunk,,new wave,
steampunk,,synth-pop,
steel band,,,
stenchcore,,death metal,
stenchcore,,heavy metal,
stenchcore,,thrash metal,
stomp and holler,,folk pop,
stomp and holler,,indie folk,
stoner metal,,blues rock,
stoner metal,,doom metal,
stoner metal,,psychedelic rock,
stoner rock,desert rock,,
stoner rock,,blues rock,
stoner rock,,doom metal,
stoner rock,,psychedelic rock,
street punk,,oi,
stride,,ragtime,
stutter house,,future garage,
stutter house,,melodic house,
stutter house,,progressive house,
sufi rock,,hindustani classical,
sufiana kalam,,hindustani classical,
sufiana kalam,,islamic modal music,
sufiana kalam,,persian classical,
sungura,,benga,
sungura,,soukous,
sungura,,township jive,
sunshine pop,,easy listening,
sunshine pop,,psychedelic,
surf,surf rock,,
surf,vocal surf,,
surf,hot rod music,,
surf punk,,surf rock,
surf rock,eleki,,
surf rock,,rock and roll,
swamp blues,,cajun,
swamp blues,,zydeco,
swamp pop,,blues,
swamp pop,,new orleans r&b,
swamp pop,,rock and roll,
swamp rock,,cajun,
swamp rock,,new orleans blues,
swamp rock,,pop,
swamp rock,,zydeco,
sweet jazz,,western classical,
swing,swing revival,,
swing revival,,punk rock,
swing revival,,rockabilly,
swing revival,,ska,
symphonic black metal,,western classical,
symphonic metal,,western classical,
symphonic metal,,gothic metal,
symphonic metal,,power metal,
symphonic mugham,,mugham,
symphonic prog,,western classical,
symphonic rock,,western classical,
symphony,choral symphony,,
synth funk,minneapolis sound,,
synth-pop,,progressive electronic,
synthwave,darksynth,,
synthwave,,electro-disco,
synthwave,,house,
synthwave,,italo-disco,
synthwave,,progressive electronic,
synthwave,,synth-pop,
synthwave,sovietwave,,
synthwave,dreamwave,,
synthwave,outrun,,
séga,traditional séga,,
sōkyoku,danmono,,
sōkyoku,kumiuta,,
taarab,,kidumbak,
takamba,,,
talempong goyang,,talempong,
tallava,,dance-pop,
tamborera,,danzón,
tamborera,,tamborito,
tamborzão,,miami bass,
tango,finnish tango,,
tango,,milonga,
tango,,maxixe,
tango,nuevo tango,,
tanjidor,,marching band,
taoist ritual music,,,
taquirari,,,
tarantella,pizzica,,
tarantella,tammurriata,,
tarawangsa,,,
tassa,,dhol tasha,
tassu,,,
tbm,,,ebm
tbm,,,techno
tchinkoumé,,,
tearout brostep,,deathstep,
tech house,,techno,
tech house,deep tech,,
tech house,rominimal,,
tech trance,,techno,
technical death metal,dissonant death metal,,
technical thrash metal,,progressive rock,
techno,ambient techno,,
techno,acid techno,,
techno,bleep techno,,
techno,detroit techno,,
techno,deep techno,,
techno,free tekno,,
techno,industrial techno,,
techno,minimal techno,,
techno,melodic techno,,
techno,makina,,
techno,peak time techno,,
techno,schranz,,
techno,wonky techno,,
techno,hardgroove techno,,
techno,hard techno,,
techno bass,,electro,
techno kayō,,synth-pop,
technoid,,darkstep,
technoid,,neurofunk,
technoid,,techno,
techstep,,hardstep,
tecnobrega,,electronic,
tecnofunk,,,funk brasileiro
tecnofunk,,,tecnobrega
tecnomerengue,,cumbia,
tecnomerengue,,lambada,
tecnorumba,,rumba flamenca,
tejano,,norteño,
tejano,,polka,
tejano,,waltz,
terror plugg,,dark plugg,
terrorcore,,gabber,
tex-mex,,tejano,
texas blues,acoustic texas blues,,
texas blues,electric texas blues,,
texas blues,,jazz,
texas blues,,swing,
texas country,,neo-traditional country,
texas country,,outlaw country,
thai classical,fon leb,,
thai classical,khrueang sai,,
thai classical,piphat,,
thall,,djent,
thall,,post-metal,
third stream,,,western classical
third stream,,,jazz
third wave ska,,2 tone,
third wave ska,,punk rock,
third wave ska,,rock,
thrash metal,technical thrash metal,,
thrash metal,,hardcore punk,
thrash metal,,nwobhm,
thrash metal,,speed metal,
tiento,,,
timba,,funk,
timba,,r&b,
timba,,son cubano,
timbila,,,
tin pan alley,,ragtime,
tin pan alley,,vaudeville,
tin pan alley,,parlour music,
tivaner inngernerlu,,,
tizita,,,
toada de boi,,,
tonada asturiana,,lied,
tonada potosina,,,
tonadilla,,,
tondero,,,
tontipop,,bubblegum pop,
tontipop,,synth-pop,
tontipop,,twee pop,
tontipop,,yé-yé,
totalism,,minimalism,
tough guy hardcore,,hip hop,
tough guy hardcore,,metal,
tough guy hardcore,,oi,
township bubblegum,,disco,
township bubblegum,,mbaqanga,
township bubblegum,,synth-pop,
township bubblegum,,township jive,
township jive,,kwaito,
township jive,,mbaqanga,
toypop,,folk,
toypop,,western classical,
toytown pop,,psychedelic pop,
toytown techno,,breakbeat,
toytown techno,,jungle,
toytown techno,,techno,
tradi-moderne congolais,,,
tradi-moderne ivoirien,,congolese rumba,
tradi-moderne ivoirien,,funk,
tradi-moderne ivoirien,,highlife,
tradi-moderne ivoirien,,jazz,
tradi-moderne ivoirien,,soul,
traditional black gospel,,blues,
traditional black gospel,,spirituals,
traditional black gospel,,gospel hymn,
traditional country,country gospel,,
traditional country,country boogie,,
traditional country,close harmony,,
traditional country,,blues,
